EVENTDAYWELLNAME,start_time,end_time,EVENTNAME,EVENTDAYDOWNTIME,EVENTDAYLOSSGAS,EVENTDAYLOSSOIL,EVENTDAYLOSSCONDENSATEFORMATION,GAS RATE,OIL RATE,CONDENSATE RATE,SIBU/NonSIBU,ROOTCAUSEDESCRIPTION
PK-A11-ST1:S1,2/24/2004 0:00,2/25/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/25/2004 0:00,2/26/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/25/2004 0:00,2/26/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/25/2004 0:00,2/26/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/26/2004 0:00,2/27/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/26/2004 0:00,2/26/2004 1:14,NULL,1.249444444,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/26/2004 0:00,2/26/2004 1:03,NULL,1.0625,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,2/26/2004 1:03,2/27/2004 0:00,NULL,22.9375,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/26/2004 1:14,2/27/2004 0:00,NULL,22.75055556,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/27/2004 0:00,2/28/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/27/2004 0:00,2/28/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/27/2004 0:00,2/28/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,2/28/2004 0:00,2/29/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,2/28/2004 0:00,2/29/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,2/28/2004 0:00,2/29/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A11-ST1:S1,3/11/2004 9:30,3/11/2004 13:55,NULL,4.416666667,0,0,0,0,0,0,NonSIBU,
PK-A10:S1,3/15/2004 0:00,3/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/15/2004 0:00,3/16/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,3/16/2004 0:00,3/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
